printed_page	sa	ta	pdf_page	note	malformed
492	सापिण्ड्य-मासिक-कालनिर्णयः	ஸபிண்டகரணம் மாஸிகம் - கால நிர்ணயம்	28		
505	मासिक श्राद्धस्य एकोद्दिष्टपार्वणत्वनिर्णयः	மாஸிகம் பார்வணமாக ஏகோத்திஷ்டமாக ஆவது	28		
506	प्रत्याब्दिकश्राद्धे पार्वणविधिः	- பிரத்யாப்திகத்தில் பார்வண முறை	28	wrapped from pdf 28 to 29	
517	भगिन्यादीनां मासिकविधिः -	சகோதரி முதலானவர்க்கு மாஸிக முறை	29		
519	सापिण्ड्यमनु एकोद्दिष्टे देववरणम् -	ஸபிண்டீயை ஒட்டிய ஏகோத்திஷ்டத்தில் விச்வே தேவர்கள்	29		
521	महालये चतुर्दश्यां शस्त्रहतानां श्राद्धम् -	மஹாளய சதுர்தசியில் ஆயுதமரணமடைந்த வருக்கு சிராத்தம்	29		
526	यतीनां पार्वणम् -	துறவிகளுக்குப் பார்வணம்	29		
532	सपिण्डीकरणविधिः -	ஸபிண்டீகரணமுறை	29		
553	सपिण्डीकरणं विना कर्तुः शुभेऽनधिकारः -	ஸபிண்டீகரணம் செய்யாமல் சுபங்களில் கர்த்தாவிற்கு அதிகாரமின்மை	29		
555	सपिण्डीकरणे अधिकारिणः तदर्हाश्च -	ஸபிண்டீகரணத்தில் அதிகாரி, அதைப் பெறத் தகுதி	29		
577	सपिण्डीकरणप्रकारः -	ஸபிண்டீகரணமுறை	29		
595	मातृसापिण्ड्यविधिः -	மாத்ருஸாபிண்ட்ய விதி	29		
601	मातुः सापिण्ड्यम् -	தாயின் ஸபிண்டீகரணம்	29		
652	सोदकुम्भश्राद्धम् -	ஸோதகும்ப சிராத்தம்	29		
668	मातापित्रोः मृतवत्सरे दर्शश्राद्धादिः	-மாதா பிதாக்களின் மரண ஆண்டில் தர்ச சிராத்தம் முதலியவை	29		
678	मातापितृश्राद्धसन्निपाते -	தாய்-தந்தையரின் சிராத்தம் ஒரே நாளிலானால்	30		
681	अनेक श्राद्ध सन्निपाते -	அநேக சிராத்தங்கள் சேர்ந்தால்	30		
686	सपिण्डश्राद्ध सन्निपाते -	ஸபிண்டர்களின் சிராத்தங்கள் சேர்ந்தால்	30		
