printed_page	sa	ta	pdf_page	note	malformed
1	मुमुर्षो: आतुरस्य स्नानविधि: ।	மரணத் தருவாயில் ஸ்நானவிதி	26		
3	पुण्ड्रविधि: -	புண்டிரவிதி	26		
5	सर्वप्रायश्चित्तम् -	ஸர்வபிராயச்சித்தம்	26		
5	कृच्छ्रं तत्प्रतिनिधि: -	க்ருச்ரம் - பிரதிநிதி	26		
9	प्रायश्चित्तकर्ता -	பிராயச்சித்தகர்த்தா	26		
12	भगवन्नामकीर्तनं -	பகவந்நாம கீர்த்தனம்	26		
13	दानानि -	தானங்கள்	26		
17	कर्णमन्त्रजप: -	கர்ணமந்திர ஜபம்	26		
19	मरणदिनगुणदोषा: -	மரணதின குணதோஷம்	26		
23	अशुद्धिप्रायश्चित्तम् -	அசுத்தி பிராயச்சித்தம்	26		
25	दुर्मरणे प्रायश्चित्तम् -	துர்மரண பிராயச்சித்தம்	26		
35	कर्तृक्रम: -	கர்த்தா வரிசை	26		
70	पत्नी रजस्वला -	மனைவி வீட்டு விலக்கு	26		
87	अग्नि निर्णय: -	அக்நி நிர்ணயம்	26		
125	प्रेताग्निसन्धानम् -	பிரேதாக்நிஸந்தானம்	26		
137	उपवीत-निवीत नियमः -	உபவீத நிவீத நியமம்	27		
147	प्रेतनिर्हरणम् -	பிரேதத்தை வெளியேற்றுதல்	27		
154	दहन देशः - क्रमश्च	தஹன இடம் - முறை	27		
169	वपनम् -	வபனம்	27		
202	केशधारणादिनियमः -	கேசதாரணம் முதலிய நியமம்	27		
215	नग्नप्रच्छादन श्राद्धं -	நக்நப்ரச்சாதன சிராத்தம்	27		
219	उदकदानं एकोत्तर वृद्धिः -	உதக தானம் - ஏகோத்தர விருத்தி	27		
235	पिण्डदानं -	பிண்ட தானம்	27		
251	प्रेतशरीरोत्पत्तिः -	பிரேத உடல் தோற்றம்	27		
252	आतुराश्वासनम् -	துக்கத்தை விசாரித்துத் தேற்றுதல்	27		
256	एकोत्तरवृद्धि-नवश्राद्धक्रमः -	ஏகோத்தர விருத்தி நவசிராத்தங்கள்	27		
261	आशौचिनियमः -	ஆசௌசிகளின் நியமம்	27		
264	अस्थिसञ्चयनम् -	அஸ்திஸஞ்சயனம்	27		
284	प्रभूत बलिः -	பிரபூத பலி	27		
287	मध्ये दर्शादिसंभवे -	நடுவில் தர்சம் நேர்ந்தால்	27		
302	पाषाणोत्थापनं -	பாஷாண் உத்தாபனம்	27		
305	मुख्यगौणकर्तृव्यवस्था -	முக்ய கௌண கர்த்தா நிலை	27		
307	मुख्यकर्तर्यसन्निहिते -	முக்ய கர்த்தா அருகில் இல்லை	27		
320	मृते पुनर्जीवति -	இறந்தவன் பிழைத்தெழுந்தால்	28		
353	पुनर्दाहविधिः -	புநர்தஹனம்	28		
371	पुनः संस्कारः -	மறுபடி ஸம்ஸ்காரம்	28		
382	मृति कालाज्ञाने -	மரண நேரம் அறியப்படாவிடில்	28		
398	मातापित्रोः दशादिनान्तरे मरणे	தாயும் தந்தையும் பத்து நாட்களுள் மரித்தல்	28		
405	दम्पत्योः सहमृत्यौ -	தம்பதி சேர்ந்து மரித்தால்	28		
410	सङ्घातमरणे -	பலர் சேர்ந்து மரித்தல்	28		
428	पत्न्याः सहचित्यारोहे -	மனைவி கூட சிதையேறினால்	28		
441	वृषभोत्सर्जनम् -	விருஷபோத்ஸர்ஜனம்	28		
449	एकोद्दिष्टक्रमः -	ஏகோத்திஷ்ட முறை	28		
466	आवृत्ताद्यमासिकम् -	ஆவ்ருத்த ஆத்யமாஸிகம்	28		
475	षोडश श्राद्धानि -	16 சிராத்தங்கள்	28		
483	मासिकादिषु आशौचप्रसक्तौ -	மாஸிகம் முதலியதின் இடையே வேறு ஆசௌசம் நேர்ந்தால்	28		
