printed_page	sa	ta	pdf_page	note	malformed
1	आशौचम् -	ஆசௌசம்	15		
4	आशौचे सन्ध्योпасनादि -	ஆசௌசத்தில் ஸந்த்யா உபாஸனம் முதலியவை.	15		
7	त्याज्यकर्माणि -	தவிர்க்கத் தக்கவை.	15		
18	पुत्रजन्मनि दानाभ्यनुज्ञा -	புத்ரன் பிறந்தால் தானம் முதலியவை	15		
19	अनेकविधं आशौचम् =	ஆசௌசம் பலவகை	15		
20	सद्यः शौचम् -	உடன் சுத்தி	15		
23	श्राद्धादिमध्ये कर्त्रादीनामाशौचे -	சிராத்தம் முதலியவற்றின் இடையே கர்த்தா முதலியவருக்கு ஆசௌசம் நேர்ந்தால்	15		
33	विवाहमध्ये आशौचे -	விவாஹத்தின் நடுவில் ஆசௌசம்	15		
34	दीक्षितस्य दीक्षामध्ये -	தீக்ஷிதனுக்கு தீக்ஷா காலத்தில்	15		
37	अघागमात्प्राक् सञ्चितद्रव्याणां दोषाभावः -	தீட்டுவருமுன் சேமித்த பொருட்களுக்குத் தோஷமில்லை	15		
39	भृगुपातादिना मृतौ -	மலையிலிருந்து நழுவி மரணம்	15		
41	सन्न्यस्तादिमृतिः -	ஸந்யாஸி முதலியவரின் மரணம்	15		
42	आशौचिनां ग्रहण स्नानम् -	தீட்டாளனுக்கு கிரஹண ஸ்நானம்	15		
42	जामातृदौहित्रादिमृतौ -	மாப்பிள்ளை தௌஹித்ரன் முதலியவரின் மரணத்தில்	15		
43	राष्ट्रक्षोभादिना मृतौ -	நாட்டுக் குழப்பத்தால் மரணத்தில்	15		
44	शिल्पिवैद्यादिमृतौ सद्यः शौचम् -	சில்பிவைத்யன் முதலியவரின் மரணத்தில் உடன் சுத்தி	15		
48	ब्राह्मणगोभूम्याद्यर्थे मृतौ -	பிராமணன் பசு பூமி முதலியவற்றிற்கான மரணத்தில்	16		
51	वैध प्रायादि आत्महत्यायाम् -	விதிப்படி பிராயோபவேசம் முதலிய தற்கொலையில்	16		
59	आहिताग्निदुर्मरणे -	ஆஹிதாக்னி துர்மரணத்தில்	16		
65	आशौचकालादूर्ध्वं मरणश्रवणे -	தீட்டுக்குரிய காலத்திற்குப் பின் மரணம் கேள்விப்பட்டால்	16		
66	गर्भस्रावादौ -	கருக்கலைதல் முதலியவற்றில்	16		
75	सूतिकाशौचम् -	பிரஸவத் தீட்டு	16		
83	वर्णविशेषाशौचम् -	வர்ணங்களுக்கேற்ற தீட்டு	16		
86	अनुलोमप्रतिलोमाशौचं -	அனுலோம பிரதிலோம ஜாதியினருக்கு தீட்டு	16		
89	समानोदकाशौचम् -	ஸமாநோதகர் தீட்டு	16		
90	सजातीय सापिण्ड्यम् -	ஸஜாதி ஸாபிண்டயம்	16		
93	सगोत्रेषु व्यवस्था -	ஸகோத்ரர்களுக்கான நிலை	16		
94	विजातीयसापिण्ड्यं कन्यासापिण्ड्यं -	விஜாதீயர் .....கன்னியைகளுக்கான ஸபிண்ட நிலை	16		
101	जननाशौचम् -	பிறப்புத் தீட்டு	16		
115	आशौचिनामन्योन्यस्पर्शनिषेधः -	ஆசௌசிகள் ஒருவருக்கொருவர்தொடத் தடை	16		
120	शिशुमरणाशौचम् -	சிசு மரண ஆசௌசம்	16		
139	खननादिसंस्कारभेदेनाशौचभेदः -	புதைத்தல் முதலிய ஸம்ஸ்காரத்திற்கேற்ப தீட்டு	16		
155	अनुपनीतमरणाशौचम् -	உபநயனமாகாதவனின் மரணத்தில்	16		
157	नामकरणादि संस्कार निबन्धनाशौचक्रमः -	நாமகரணம் முதலிய ஸம்ஸ்காரத்தில்கேற்பத் தீட்டு	16		
159	खननादिसंस्कार व्यवस्था -	புதைத்தல் முதலியவற்றின் முறை	18		
173	कन्यामरणाशौचम् -	கன்னிப் பெண்ணின் மரணத்தில் தீட்டு	18		
179	ऊनद्विवर्षाया: ऊढाया: संस्कार: -	இரண்டு வயது நிறைவாகாது மணம் புரிந்தவளின் ஸம்ஸ்கார முறை	18		
181	स्वगृहे पुत्रीप्रसवादिना आशौचम् -	தன் வீட்டில் புத்திரியின் ப்ரஸவம் முதலியவற்றால் தீட்டு	18		
187	उपनीताशौचम् -	உபநயனமானவனுக்கான தீட்டு	18		
199	अनौरसपुत्रजननादौ -	ஔரஸனல்லாத புத்திர ஜனனத்தில்	18		
204	दत्तविषये -	ஸ்வீகாரம் கொடுத்தவன் விஷயத்தில்	18		
210	विवाहितस्त्रीविषये पित्राद्याशौचम् -	மணமான மகளின் மரணத்தில் தந்தை முதலியவருக்கு தீட்டு	18		
211	दौहित्रमातामहादिविषये -	தௌஹித்ரன் மாதாமஹன் முதலானவரின் மரணத்தில்	18		
219	पक्षिण्याशौचम् -	பக்ஷிணித் தீட்டு	18		
226	भिन्नमातृष्वस्त्रादिमरणे -	ஒன்றுவிட்ட தாயின் ஸஹோதரி முதலியவரின் மரணத்தில்	18		
229	एकदिनाशौचम् -	ஒரு நாள் தீட்டு	18		
234	अनेकाशौचसन्निपाते -	ஒரே சமயத்தில் பல தீட்டுகள் சேர்ந்தால்	18		
251	अज्ञातिदाहाशौचम् -	ஞாதி அல்லாதவரின் ஈமச்சடங்கால்	18		
252	आशौचशेषन्यायापवाद: -	ஒரு தீட்டில் வேறு தீட்டு மறையாத நிலை	18		
253	आशौचमध्ये जातकर्मादि -	ஆசௌசத்தின் நடுவில் ஜாதகர்மாதிகளைச் செய்யலாம்.	18		
254	दूरदेशस्थसपिण्डमरणे -	தூரதேசத்திலுள்ள ஸபிண்டனின் மரணத்தில்	18		
256	अतिक्रान्ताशौचम् -	காலம் கடந்த ஆசௌசம்	19		
271	सपत्नीमातृविषये -	ஸபத்நீ மாதா விஷயத்தில்	19		
271	भ्रातृविषये -	ப்ராதா விஷயத்தில்	19		
273	पुनः संस्कारे विशेषः -	மறுபடி ஸம்ஸ்காரத்தில் விசேஷம்	19		
288	रात्रौ जन्ममृतिसंभवे दिननिर्णयः -	ராத்திரியில் ஜனனம் ருது மரணம் நேர நாள் நிர்ணயம்.	19		
290	संपर्काशौचम् द्रव्यादीनां अतिक्रान्ताशौचाभावश्च -	ஸம்பர்கா சௌசம் - திரவ்யாதிகளுக்கு अतिक்ராந்தா சௌசமின்மை	19		
293	अन्तः शवग्रामाशौचम् -	அந்தச் சவகிராமா சௌசம்	19		
297	अनुगमनाशौचम् -	அனுகமநா சௌசம்	19		
306	असपिण्डसजातीयप्रेतनिर्हरणे -	ஸபிண்டனல்லாத ஸஜாதி பிரேத நிர்ஹரணத்தில்	19		
309	पर्युषित समानोदक - असवर्णशवनिर्हरणे -	பர்யுஷிதம் ஸமாநோதகம், அஸவர்ணமான சவநிர்ஹரணத்தில்	19		
313	गर्भवतः ब्रह्मचारिणश्च पित्राद्यन्यशवनिर्हरणनिषेधः -	மனைவி கருவுற்றிருக்கும்போதும் பிரும்மசாரிக்கும் சவ நிர்ஹரணத் தடை	19		
317	धर्मार्थशवनिर्हरणे मानुषस्थिस्पर्शे च -	தர்மத்திற்காக சவநிர்ஹரணம் செய்தலில் மனித எலும்பு ஸ்பர்சத்தில்	19		
319	आशौचिनां देवालयादि प्रवेशादिनिषेधः -	ஆசௌசி தேவாலயம் முதலியவற்றில் நுழையத் தடை	19		
320	एकादश्युपवासे -	ஏகாதசி உபவாஸத்தில்	19		
321	शावाशौचिनियमाः -	சாவாசௌசிகளின் நியமங்கள்	19		
322	अघान्तकृत्यम् -	தீட்டின் முடிவில் செய்ய வேண்டியது	19		
