printed_page	sa	ta	pdf_page	note	malformed
2	निमेषादिकालावयवाः -	நிமிஷம் முதலிய காலப் பகுதிகள்	35		
3	तिथिः - खण्डतिथिश्च -	திதி - கண்டதிதி	35		
5	प्रथमातिथिनिर्णयः -	பிரதமை திதி நிர்ணயம்	35		
17	एकभक्तव्रतम् -	ஏகபக்த விரதம்	35		
20	नक्तव्रतम् -	நக்தவிரதம்	35		
31	द्वितीयानिर्णयः -	த்விதீயை நிர்ணயம்	35		
32	तृतीयानिर्णयः -	திருதீயை நிர்ணயம்	35		
32	चतुर्थी निर्णयः -	சதுர்த்தி நிர்ணயம்	35		
34	पञ्चमीनिर्णयः -	பஞ்சமீ நிர்ணயம்	35		
34	षष्ठीनिर्णयः -	ஷஷ்டீ நிர்ணயம்	35		
35	सप्तमीनिर्णयः -	ஸப்தமீ நிர்ணயம்	35		
36	अष्टमीनिर्णयः -	அஷ்டமீ நிர்ணயம்	35		
37	गोकुलाष्टमी कृष्णजयन्ती -	கோகுலாஷ்டமீ - க்ருஷ்ண ஜயந்தீ	35		
56	नवमीनिर्णयः -	நவமீ நிர்ணயம்	35		
57	श्रीरामनवमी -	ஸ்ரீராமநவமீ	35		
62	दशावतारकलः -	தசாவதார காலம்	35		
64	दशमीनिर्णयः -	தசமீ நிர்ணயம்	35		
65	एकादशीनिर्णयः -	ஏகாதசி நிர்ணயம்	36		
67	वैष्णवस्मार्तैकादशी -	வைஷ்ணவ ஸ்மார்த்த ஏகாதசி	36		
90	एकादश्युपवास योग्याः -	ஏகாதசி உபவாஸத்திற்கு ஏற்றவர்	36		
110	सुमङ्गल्या उपवासनिषेधः -	ஸுமங்கலி உபவாஸத் தடை	36		
111	उपवासेऽशक्ताः -	உபவாஸமிருக்க முடியாதவர்	36		
114	आशौचादौ उपवासः -	ஆசௌசம் முதலிய நிலையில் உபவாஸம்	36		
115	एकादश्यां श्राद्ध प्राप्तौ -	ஏகாதசியில் சிராத்தம் நேர்ந்தால்	36		
121	उपवासनियमाः -	உபவாஸ நியமங்கள்	36		
124	द्वादशीनिर्णयः -	துவாதசீ நிர்ணயம்	36		
