printed_page	sa	ta	pdf_page	note	malformed
124	त्रयोदशीनिर्णयः -	திரயோதசீ நிர்ணயம்	36		
125	चतुर्दशीनिर्णयः -	சதுர்தசீ நிர்ணயம்	36		
126	अनन्त-शिवरात्रव्रतादि -	அநந்த விரதம், சிவராத்ரி விரதம், முதலியவை	36		
138	पञ्चदशी - पूर्णिमा-अमानिर्णयः -	பஞ்சதசீ - பூர்ணிமை அமா நிர்ணயம்	36		
140	इष्टिकाल निर्णयः -	இஷ்டிக்கான காலம்	36		
152	बोधायनकात्यायनमते अमा -	போதாயன - காத்யாயன மதத்தை ஒட்டி அமாவாஸ்யை	36		
159	नक्षत्रादिनिर्णयः -	நக்ஷத்திரம் முதலியதன் நிர்ணயம்.	36		
165	प्रायश्चित्तं नाम	பிராயச்சித்தம் என்பது	37		
167	प्रायश्चित्तार्हः	பிராயச்சித்தத்திற்கு அர்ஹன்	37		
168	एकविंशतिर्नरकाः	21 நரகங்கள்	37		
169	पापफलम्	பாபத்தின் விளைவு	37		
180	पापं नवविधम्	பாபம் 9 விதம்	37		
184	फले तारतम्यम्	பலனில் ஏற்றத் தாழ்வு	37		
188	अतिपातकानि	அதிபாதகம்	37		
193	समपातकानि	ஸமபாதகம்	37		
199	उपपातकानि	உபபாதகங்கள்	37		
202	सङ्करीकरणानि	ஸங்கரீ கரணங்கள்	37		
204	कामाकामकृतं पापम्	விரும்பியும் விரும்பாமலும் செய்தவை	37		
212	मरणान्तिकप्रायश्चित्तम्	மரணம் ஈறான பிராயச்சித்தம்	37		
213	प्रकाशरहस्यकृतपापप्रायश्चित्तम्	பிறரறிய - அறியாதவாறு செய்த பாப பிராயச்சித்தம்	37		
215	परिषत्	ஸபை	37		
222	प्रायश्चित्तविधानस्थलम्	பிராயச்சித்தம் விதிக்குமிடம்	37		
-	प्रायश्चित्तं	பிராயச்சித்தம்	37	centred heading, no page number in print	
224	ब्रह्महत्यायां - तदुद्यमे च	பிரும்மஹத்தையில், அதற்காக முயன்றால்	37		
238	क्षत्रियादि हत्यायां	க்ஷத்திரியன் முதலானவரின் கொலையில்	37		
243	शस्त्रग्रहणे	ஆயுதம் தரிப்பதில்	38		
245	गोवधे	பசுவின் கொலையில்	38		
257	प्राण्यन्तरहनने	மற்ற பிராணி கொலையில்	38		
263	वृक्षच्छेदादौ	மரம் முதலியதை வெட்டுவதில்	38		
265	सुरापानादौ	ஸுராபானம் முதலியதில்	38		
275	विण्मूत्रादिभक्षणे	மலமூத்ராதிகளை உண்டால்	38		
277	अपेयपाने	பருகத் தகாததைப் பருகினால்	38		
284	परस्वहरणे	பிறரது உரிமைப் பொருளைத் திருடினால்	38		
300	माध्यस्थ्येन धनग्रहणे	மத்யஸ்தத்தால் தனம் பெற்றால்	38		
302	गुरुतल्पगमने	குருதல்ப கமனத்தில்	38		
309	सवर्णागमने	ஸவர்ணையுடன் சேர்வதில்	38		
311	अगम्या गमने	சேரக் கூடாதவளுடன் சேர்வதில்	38		
330	रेतः स्खलने	சுக்லம் நழுவச் செய்தால்	38		
334	ऋतुकालातिक्रमे	ருதுகாலம் தவறினால்	38		
335	शपथोल्लङ्घने	சபதம் மீறினால்	38		
338	परपुरुषगमनादौ स्त्रिया:	பரபுருஷனுடன் சேர்வதால் ஸ்த்ரீக்கு	38		
340	गर्भपाते	கர்ப்பச் சிதைவிற்கு	38		
341	व्यभिचारे	விபசாரத்தில்	38		
343	भर्तृभार्यापरित्यागे	கணவன் - மனைவி தியாகத்தில்	38		
359	कर्मणः पातित्यहेतुत्वम्	நடைமுறை பதித நிலைக்குக் காரணம்	38		
364	मिथ्याभिशंसने	பொய்யான அபவாதத்தில்	38		
368	ब्राह्मणापगुरणादौ	பிராமணனை அடித்தல் முதலியதில்	38		
371	गुर्वाद्यधिक्षेपे	குரு முதலியவர் மீது வீண் அபவாதத்தில்	38		
375	अशुचौ आचारे	அசுசி நடைமுறையில்	38		
377	अभिचारे शापे -	அபிசாரம் - சாபத்தில்	39		
380	भृतकाध्यापनाध्ययने -	கூலிக்கு வேதம் கற்பித்தலில் கற்பதில்	39		
383	अनाश्रमित्वे -	ஆச்ரமமின்றி வாழ்வதில்	39		
384	ऊढाया: पुनरुद्वाहे -	முன் மணக் கப்பட்டவளை மணந்தால்	39		
385	सगोत्रादिविवाहे -	ஸகோத்ர விவாஹம் முதலியதில்	39		
387	परिवेदने -	மூத்தவனிருக்க இளையவன் மணந்தால்	39		
389	उष्ट्रादियाने -	ஒட்டகை முதலியதன் மீதேறிச் சென்றால்	39		
390	कारागृहवासे -	சிறையிலிருந்ததால்	39		
392	कुग्रामवासे -	குக்ராம வாஸத்தில்	39		
392	दुर्देशगमने -	துர்தேசம் சென்றால்	39		
393	श्वसृगालादिदंशे -	நாய் - நரிமுதலியவை கடித்தால்	39		
400	शरीरे क्रिम्युत्पत्तौ -	உடலில் புழு தோன்றினால்	39		
404	अभोज्य भोजने -	உண்ணத் தகாததை உண்டால்	39		
410	भोजनानर्हसत्रादौ भोजने -	உணவேற்கத் தகாத ஸத்ரம் முதலியதில் உண்டால்	39		
426	कालोचित संस्काराकरणे -	காலத்திற்கேற்ற ஸம்ஸ்காரத்தைச் செய்யாவிடில்	39		
430	उष्णोदकस्नाने -	வெந்நீரில் நீராடினால்	39		
431	यज्ञोपवीतादिभ्रंशे -	பூணூல் முதலியவை நீங்கினால்	39		
432	भोजनकाले क्षुतादौ -	உண்ணும் போது தும்மல் முதலியவையில்	39		
433	शिवनिर्माल्य भोजने -	சிவனது நிர்மால்யத்தை உண்டால்	39		
434	पत्नयादिभि: सहभोजने -	மனைவி முதலியவருடன் உண்டால்	39		
435	नीलवस्त्रधारणे -	நீல ஆடை தரித்தால்	39		
438	परान्न भोजन- विषमवितरणादौ -	பிறரது உணவு பக்ஷபாதத்துடன் பரிமாறுதல் முதலியவையில்	39		
438	नवश्राद्धादौ भोजने	நவ சிராத்தம் முதலியதில் உண்டால்	40		
445	श्राद्धचौलादि शिष्टान्न भोजने	சிராத்த சௌளாதிகளில் மீதியை உண்டால்	40		
449	अविक्रेयविक्रये	விற்கத் தகாததை விற்பதால்	40		
449	वार्धुषिकादिजीवने	வட்டி வாங்கி ஜீவிப்பதில்	40		
456	ऋणादिकृत्वो व्रताद्याचरणे	கடன் வாங்கி விரதம் முதலியவை செய்தால்	40		
457	अविक्रेयविक्रये	விற்கத் தகாததை விற்பதில்	40		
461	मरणोद्यमानिवृत्तौ	தற்கொலை முயற்சியிலிருந்து திரும்பினால்	40		
466	पारिव्राज्यात् प्रच्युतौ	துறவிலிருந்து நழுவினால்	40		
470	आत्मघातिनः शववहनादौ	தற்கொலை செய்துகொண்டவனின் சவத்தின் ஈமச் சடங்கில் கலந்துகொண்டால்	40		
473	अनृतभाषणे	பொய் சொல்வதில்	40		
474	मिथ्याशपथे	பொய்யாகச் சபதமிடுவதில்	40		
478	श्रौताग्नित्यागे	சுரௌதாக்னியை விடுவதில்	40		
480	नास्तिक्ये	நாஸ்திகத்தில்	40		
482	पंक्तिवैषम्ये दूषणे	உணவுப் பந்தியில் பாரபக்ஷத்தில் கெடுப்பதில்	40		
484	अनुपवीतेन कर्मकरणे	உபவீதமின்றி செயல்படுவதில்	40		
484	शयनानर्हस्थले शयने	படுக்கத் தகாதத் தலத்தில் படுப்பதில்	40		
485	श्राद्धे निमन्त्रितस्य कालातिक्रमे	சிராத்தத்தில் வரிக்கப்பட்டவனின் காலதாமதத்தில்	40		
486	अनभिवाद्याभिवादनादौ	வணங்கத்தகாதவரை வணங்குவது முதலியதில்	40		
487	दुष्टप्रतिग्रहे	தகாத தானத்தை ஏற்பதில்	40		
498	हिरण्यहस्त्यादिप्रतिग्रहे	தங்க யானை முதலியதை ஏற்பதில்	40		
513	पञ्चलाङ्गलप्रतिग्रहे -	ஐந்து கலப்பை ஏற்பதில்	41		
515	धराप्रतिग्रहे -	பூமிதானத்தை ஏற்பதில்	41		
517	विश्वचक्रप्रतिग्रहे -	விச்வ சக்ரத்தை ஏற்பதில்	41		
517	कल्पलतापरिग्रहे -	கல்பலதை ஏற்படுதில்	41		
518	सप्तसागरप्रतिग्रहे -	ஸப்தஸாகரத்தை ஏற்பதில்	41		
519	चर्मधेनुप्रतिग्रहे -	தோலாலான பசுவை ஏற்பதில்	41		
521	महाभूत घटादिप्रतिग्रहे -	மஹாபூத கடம் முதலியதை ஏற்பதில்	41		
525	अतिपातकोपपातक संकरीकरणादीनां -	அதிபாதகம் உபபாதகம், ஸங்கரீகரணம் முதலிய வற்றிற்கு	41		
548	प्राजापत्यादिकृच्छ्रम् -	பிராஜாபத்யம் முதலிய க்ருச்ரம்	41		
561	पराकपर्णफलवारुणादि कृच्छ्राणि -	பராகம், பர்ணம் பலம், வாருணம் முதலிய க்ருச்ரங்கள்	41		
570	चान्द्रायणकृच्छ्रम् -	சாந்த்ராயண க்ருச்ரம்	41		
579	ब्रह्मकूर्च (पञ्चगव्य) कृच्छ्रम् -	ப்ரஹ்ம கூர்ச்ச (பஞ்சகவ்ய) க்ருச்ரம்	41		
583	कृच्छ्रप्रतिनिधिः -	க்ருச்ரத்திற்கு மாற்று	41		
587	महानद्यः -	மஹாநதிகள்	41		
589	अध्ययनवेदपारायणादौ अधिकारः -	அத்யயனம், வேதபாராயணம் முதலியவற்றில் தகுதி	41		
