printed_page	sa	ta	pdf_page	note	malformed
1	आब्दिकम् - मृतितिथौ	ஆப்திகம் - மரண திதியில்	12		
2	पार्वण श्राद्धविधि:	பார்வண சிராத்த முறை	12		
3	तिथि: मुख्या	திதி முக்கியம்	12		
4	सौरचान्द्रादिमानम्	ஸௌரசாந்திராதிமானங்கள்	12		
26	सौरमासे तिथिद्वये	ஸௌரமாஸத்தில் இரு திதிகள் நேர்ந்தால்	12		
38	सौरतिथ्यभावे चान्द्रतिथि:	ஸௌரமானப்படி திதி நேராதிருந்தால் சாந்திரமான திதி	12		
40	आब्दिकाकरणे दोष:	ஆப்திகம் செய்யாவிடில் தோஷம்	12		
43	श्राद्धार्हकाल निर्णय:	சிராத்தத்திற்கேற்ற நேரம்	12		
56	पार्वणादि श्राद्धकाल:	பார்வணம் முதலிய சிராத்த காலம்	12		
81	प्रथमाब्दिक श्राद्धनियम:	முதல் ஆப்திக நியமம்.	12		
83	आब्दिकश्राद्धं अन्नेनैव	ஆப்திகம் அன்ன சிராத்தம்	12		
86	रजस्वलाया: श्राद्धनियम:	ரஜஸ்வலையின் சிராத்த நியமம்	12		
89	विघ्ने जाते कृष्णपक्षैकादश्यादौ करणं	தடை நேர்ந்தால் கிருஷ்ணபக்ஷ ஏகாதசி முதலிய காலம்.	12		
90	आशौचेन विघ्ने	ஆசௌசத்தால் தடைப்பட்டால்	12		
92	ग्रहणादिना विघ्ने	கிரஹணம் முதலியவற்றால் தடைப்பட்டால்	12		
97	श्राद्धे उद्देश्या:	சிராத்தத்திற்கு உரியவர்	12		
115	अनुमरणे आब्दिकम् -	அனுமரணத்தில் சிராத்தம்	13		
119	मासिकाब्दिकादौ परेऽहनि तर्पणम् -	மாஸிகம், ஆப்திகம் முதலியதில் மறுநாள் தர்ப்பணம்	13		
121	मलमासः, तत्र कार्यं कर्म -	மலமாஸம், அதில் செய்யத் தக்கது	13		
148	अधिकमासे मासिकादिः -	அதிகமாஸத்தில் மாஸிகம் முதலியவை	13		
159	मल-ऊनमासे मृतस्य श्राद्धम् -	மல ஊன மாஸங்களில் இறந்தவனது ஆப்திகம்	13		
162	मलमासे महालयश्राद्धादिनिषेधः -	மலமாஸத்தில மஹாளயம் முதலியவற்றிற்குத் தடை	13		
169	काम्यकर्मणां मलमासे निषेधः -	காம்ய கர்மங்களுக்கு மலமாஸத்தில் தடை	13		
175	गुरुशुक्रमौढ्ये -	குருசுக்ர மௌட்யத்தில்	13		
178	दर्शश्राद्धं, तत्र देवताः -	தர்ச சிராத்தம் அதில் தேவதை	13		
182	दर्शे मातामहादिवरणम् -	தர்சத்தில் மாதாமஹர் முதலானோருக்கு வரணம்	13		
183	स्त्रीवर्गः नोद्दिष्टः -	ஸ்திரீ வர்கத்திற்கு தனி நிலையின்மை	13		
185	विधवाकर्तृकश्राद्धे उद्देश्याः -	விதவை செய்கிற சிராத்தத்தில் பங்கு பெறுபவர்	13		
189	दर्शश्राद्धे तिलोदकम् -	தர்சத்தில் எள்ளும் நீரும்	13		
190	दर्शे आब्दिकसंभवे -	அமாவாஸ்யையில் ஆப்திகம்	13		
190	पितरि जीवति मातुः दर्शादिनिषेधः -	தந்தையின் ஜீவதசையில் தாய்க்குத் தர்ப்பணமில்லை	13		
195	दर्शश्राद्धकालः -	தர்ச சிராத்தநேரம்	13		
217	अमावास्यायां योगविशेषा:	அமாவாஸ்யையில் தனித்த யோகங்கள்	14		
219	अर्धोदयमहोदयौ	அர்த்தோதயம், மஹோதயம்	14		
222	अष्टकाश्राद्धम्	அஷ்டகா சிராத்தம்	14		
226	महालयश्राद्धम्	மஹாளய சிராத்தம்	14		
255	महालये उद्देश्या:	மஹாளயத்தில் தேவதைகள்	14		
257	कारुणिकपितर:	காருணிக பித்ருக்கள்	14		
261	नान्दीश्राद्धम्	நாந்தீ சிராத்தம்	14		
265	मातृगणपूजा	மாத்ருகணபூஜை	14		
281	श्राद्धभेदा:	சிராத்தங்களின் வேறுபாடு	14		
286	श्राद्धदेश:	சிராத்த தேசம்	14		
295	श्राद्धकाल:	சிராத்த காலம்	14		
299	युगादि-मन्वादि-काम्यश्राद्धविधि:	யுகாதிமன்வாதி காம்ய சிராத்தமுறைகள்	14		
315	निमन्त्रणार्हा:	சிராத்தத்தில் வரிக்கத் தக்கவர்கள்	14		
370	गयाश्राद्धविधि:	கயா சிராத்த முறை	14		
371	श्राद्धपूर्वदिनकृत्यम्	சிராத்தத்தின் முதல்நாள் நடைமுறை	14		
382	वृतब्राह्मणनियम:	வரிக்கப் பெற்ற பிராமண நியமம்	14		
390	श्राद्धदिने करणीयम्	சிராத்தநாளில் செய்யத் தக்கது	14		
394	श्राद्धार्हद्रव्याणि	சிராத்தத்திற்கேற்ற பொருட்கள்	14		
410	द्रव्यशुद्धि:	பொருட்களின் தூய்மை	14		
420	श्राद्धे वृतानां तैलाभ्यङ्ग:	சிராத்த நாளில் வரிக்கப் பெற்றவரின் எண்ணெய்க் குளி.	14		
437	श्राद्धक्रम:	சிராத்தம் செய்முறை	14		
438	मण्डलं	மண்டல அமைப்பு	14		
441	पाद्यासनाद्युपचारा:	பாத்ய - ஆஸநாதி உபசாரங்கள்	15		
485	अग्नौ होम:	அக்னியில் ஹோமம்	15		
494	परिवेषणे नियम:	பரிமாறுவதின் முறை	15		
498	भोजनपात्रम्	உணவிற்கான பாத்திரம்	15		
510	भोजननियम:	உணவேற்பதில் முறை	15		
513	अभिश्रवणम्	அபிச்ரவணம்	15		
516	कर्तृभोक्तृनियम:	கர்த்தா - போக்தாவிற்கான முறை	15		
534	अग्निनाशे	ஹோமாக்னி அணைந்தால்	15		
535	विकिर-वायसपिण्डादि:	விகிரம் - வாயஸ பிண்டம் முதலியவை	15		
540	भोजनान्ते प्रार्थना	உணவேற்றபின் வேண்டுதல்	15		
545	हस्तप्रक्षालनाचमनादि:	கையலம்புதல் ஆசமனம் முதலியவை	15		
553	स्वस्तिवाचनम्	ஸ்வஸ்தி வாசனம்	15		
555	पिण्डदानम्	பிண்டதானம்	15		
567	उच्छिष्टदेश-भोजनपात्रादिशुद्धि:	உண்ட இடம், உண்ட பாத்திரம் முதலியவற்றின் சுத்தி	15		
570	नित्यश्राद्धवैश्वदेवादि	நித்யசிராத்தம் வைச்வ தேவம் முதலியவை	15		
575	पितृशेषभोजनम्	பித்ருசேஷத்தை உண்பது	15		
579	कर्तृभोक्तृनियम:	சிராத்தம் செய்தவர், உண்டவர் நியமம்	15		
582	सङ्कल्पश्राद्धविधि:	ஸங்கல்ப சிராத்தமுறை	15		
583	आमश्राद्धविधि:	ஆம சிராத்தமுறை	15		
587	हिरण्यश्राद्धविधि:	ஹிரண்யசிராத்த முறை	15		
588	श्राद्धमहिमा - फलंच	சிராத்தத்தின் பெருமை, பயன்	15		
